epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4504,3.81073,4.9149,3.8534,2e-05,0.00201,1e-05,0,5.63035,5.04933,4.25613,0.000656566,0.000656566,0.000656566
2,76.0429,2.38781,2.42996,2.29558,0.65359,0.45875,0.51502,0.2075,2.23935,1.91789,2.11316,0.00131013,0.00131013,0.00131013
3,108.45,2.07313,1.90378,1.90114,0.42213,0.55734,0.39815,0.1464,2.05562,1.76345,1.8198,0.0019505,0.0019505,0.0019505
4,140.46,1.89032,1.60118,1.72355,0.56547,0.61569,0.55021,0.23424,1.76069,1.62457,1.6358,0.0019406,0.0019406,0.0019406
5,173.098,1.78653,1.427,1.63838,0.75901,0.6147,0.7092,0.35143,1.75608,1.3049,1.62914,0.0019208,0.0019208,0.0019208
6,204.934,1.71739,1.29553,1.56566,0.82536,0.71026,0.79815,0.39541,1.6053,1.21,1.5082,0.001901,0.001901,0.001901
7,236.789,1.6672,1.28275,1.54158,0.86955,0.72435,0.83228,0.45278,1.5421,1.11708,1.45806,0.0018812,0.0018812,0.0018812
8,269.375,1.58583,1.14824,1.49057,0.79404,0.67404,0.77522,0.39054,1.57912,1.26625,1.51178,0.0018614,0.0018614,0.0018614
9,301.898,1.55139,1.09799,1.43969,0.89463,0.77062,0.86256,0.49287,1.42025,1.12736,1.38824,0.0018416,0.0018416,0.0018416
10,335.055,1.52773,1.06161,1.4374,0.83415,0.70221,0.82226,0.44684,1.51499,1.10529,1.42895,0.0018218,0.0018218,0.0018218
11,367.459,1.49758,1.03868,1.42002,0.86968,0.79879,0.88183,0.51213,1.47035,0.9477,1.38685,0.001802,0.001802,0.001802
12,400.355,1.47179,0.98958,1.38426,0.88293,0.78908,0.88902,0.50172,1.433,0.98702,1.39121,0.0017822,0.0017822,0.0017822
13,431.631,1.4359,0.97231,1.39227,0.88707,0.80282,0.89745,0.56007,1.25505,0.85057,1.29429,0.0017624,0.0017624,0.0017624
14,463.723,1.40408,0.93988,1.35867,0.83608,0.77666,0.86662,0.47801,1.4251,0.99531,1.3689,0.0017426,0.0017426,0.0017426
15,496.154,1.40281,0.92206,1.3357,0.87627,0.82897,0.88739,0.53742,1.35873,0.92092,1.33257,0.0017228,0.0017228,0.0017228
16,528.384,1.40261,0.89353,1.3224,0.91191,0.80885,0.9092,0.56713,1.25535,0.83614,1.2891,0.001703,0.001703,0.001703
17,559.921,1.397,0.89681,1.33982,0.91567,0.84507,0.92352,0.57918,1.21734,0.77294,1.25393,0.0016832,0.0016832,0.0016832
18,593.04,1.37693,0.87093,1.32535,0.88622,0.81489,0.90505,0.5232,1.38677,0.891,1.33904,0.0016634,0.0016634,0.0016634
19,625.903,1.38401,0.87666,1.31202,0.93452,0.80399,0.91687,0.58393,1.22191,0.79973,1.26834,0.0016436,0.0016436,0.0016436
20,658.252,1.3389,0.8464,1.28295,0.93052,0.83099,0.92635,0.54745,1.35252,0.84324,1.28601,0.0016238,0.0016238,0.0016238
21,689.83,1.33802,0.83939,1.28724,0.92888,0.84708,0.93493,0.56792,1.30169,0.77055,1.27725,0.001604,0.001604,0.001604
22,721.416,1.32232,0.8462,1.28571,0.94379,0.84306,0.9334,0.57933,1.23701,0.78082,1.24329,0.0015842,0.0015842,0.0015842
23,752.695,1.31653,0.82564,1.28372,0.91329,0.86888,0.94184,0.58377,1.24136,0.7671,1.25282,0.0015644,0.0015644,0.0015644
24,785.101,1.30223,0.7911,1.27206,0.91429,0.81558,0.93246,0.57603,1.258,0.80519,1.24269,0.0015446,0.0015446,0.0015446
25,817.02,1.32231,0.81476,1.29514,0.87739,0.82495,0.91149,0.56823,1.26838,0.77244,1.26822,0.0015248,0.0015248,0.0015248
26,848.771,1.30672,0.78699,1.30597,0.90156,0.84764,0.93817,0.59605,1.219,0.74176,1.23536,0.001505,0.001505,0.001505
27,880.772,1.2677,0.78102,1.25112,0.92787,0.85414,0.94283,0.60447,1.20282,0.71041,1.20882,0.0014852,0.0014852,0.0014852
28,913.123,1.25659,0.76966,1.24994,0.89507,0.87324,0.93592,0.5769,1.27453,0.76445,1.24983,0.0014654,0.0014654,0.0014654
29,945.877,1.26285,0.76966,1.25171,0.9215,0.8672,0.94543,0.60372,1.23833,0.71152,1.22888,0.0014456,0.0014456,0.0014456
